ZoneID,ToZoneID,Latitude,Longitude,Distance,Band
123,149,55.493133,-1.9473639,453.6468778,450
123,150,55.143162,-1.7399081,412.6662619,425
123,151,55.075222,-2.2449481,414.4381682,425
123,152,53.350538,-0.97845631,207.1388378,200
123,153,53.175473,-1.1781529,191.8645165,200
123,154,53.109364,-0.92406569,180.1781438,175
123,155,52.945709,-1.0450904,164.7998964,175
123,156,53.032072,-1.25544,178.5700446,175
123,157,53.552537,-2.0482769,253.3761636,250
123,158,51.753525,-1.2394985,68.04746937,75
123,159,51.925865,-1.3820137,85.26408396,75
123,160,51.638223,-1.2829723,67.56689746,75
123,161,51.855366,-4.8990199,318.3277376,325
123,162,50.740807,-1.9657793,144.771772,150
123,163,52.34389,-3.4351733,232.2202414,225
123,164,56.539372,-3.8994538,604.1990891,600
123,165,52.603089,-0.25474139,119.2295246,125
123,166,50.392368,-4.1124463,294.7546821,300
123,167,50.818326,-1.0696442,95.02171668,100
123,168,53.856118,-2.8282211,309.0043329,300
123,169,54.56708,-0.99503762,340.6484533,350
123,170,53.607395,-2.1449745,261.7961935,250
123,171,53.408489,-1.2820255,218.6630762,225
123,172,52.64191,-0.62708232,125.2010153,125
123,173,51.451612,-0.99079074,47.2362583,50
123,174,55.837199,-4.5689159,554.8357806,550
123,175,52.393824,-1.3181732,117.7463335,125
123,176,52.514906,-2.0077811,159.1085907,150
123,177,53.567704,-3.0679452,293.0851576,300
123,178,53.78271,-1.1279856,256.2248305,250
123,179,53.402943,-1.5603024,224.4446502,225
123,180,52.662841,-2.7737459,209.7646648,200
123,181,52.430988,-1.7323921,139.1690301,150
123,182,51.896651,-0.52009757,42.77598134,50
123,183,52.822126,-1.5349766,165.7109577,175
123,184,51.54676,-2.4630228,148.4425229,150
123,185,53.457191,-2.7006305,268.1481523,275
123,186,52.847888,-2.1749745,193.5154074,200
123,187,53.389914,-2.1176342,239.9418353,250
123,188,54.554563,-1.3066721,342.6597543,350
123,189,54.87175,-1.4583633,379.2059402,375
123,190,51.656169,-4.0770246,260.4142203,250
123,191,51.587322,-1.733721,98.00543641,100
123,192,52.865762,-2.7688556,223.488801,225
123,193,52.52235,-2.7349584,198.7873733,200
123,194,51.074083,-2.6696515,171.3505598,175
123,195,51.108266,-3.2722365,210.8668576,200
123,196,55.30146,-4.7340931,511.5027732,500
123,197,55.569299,-3.831139,505.6098005,500
123,198,52.604645,-2.2595262,178.4755675,175
123,199,51.668039,-3.3279011,208.6814798,200
123,200,51.716457,-3.1342315,195.6937032,200
123,201,50.914008,-1.4005122,101.9362788,100
123,202,51.930289,0.2941856,61.46921855,50
123,203,56.254927,-4.2096012,584.0736243,575
123,204,53.050444,-2.12409,208.8383809,200
123,205,52.250071,1.1914051,131.3257211,125
123,206,52.25655,0.64958546,104.7620547,100
123,207,51.240637,-0.18939242,33.72989108,25
123,208,51.374584,-0.53985136,23.12189945,25
123,209,51.202598,-0.6193998,42.07127861,50
123,210,53.477978,-2.0666643,246.6920303,250
123,211,52.623148,-1.6851042,153.1122277,150
123,212,52.721252,-2.4894489,198.7215998,200
123,213,51.935021,-2.0776968,129.2106244,125
123,214,51.448181,-3.418203,215.1075839,225
123,215,53.244508,-2.5686503,244.1993674,250
123,216,53.659167,-1.4132067,247.8760452,250
123,217,52.612785,-1.9751309,165.146217,175
123,218,53.398277,-2.5617507,257.3275287,250
123,219,52.278128,-0.71469056,87.25179535,75
123,220,53.526215,-2.5870504,269.7867354,275
123,221,52.590729,-2.1276263,170.8014963,175
123,222,52.1723,-1.5982353,113.0830112,125
123,223,55.95542,-4.5025845,563.8829352,575
123,224,55.88489,-3.6084318,530.5012709,525
123,225,51.004424,-0.10805097,60.5835047,50
123,226,50.909701,-0.71675427,74.49881194,75
123,227,50.829503,-0.48918973,79.01383586,75
123,228,51.004209,-0.38618716,58.88886198,50
123,229,55.954688,-5.1683338,586.4731464,575
123,230,51.544028,-2.0568388,120.2760004,125
123,231,51.235391,-1.9271589,116.4266445,125
123,232,53.368933,-3.0649046,276.5075337,275
123,233,52.211096,-2.2093238,150.2401776,150
123,234,53.012579,-3.0260148,247.2419223,250
123,235,53.966502,-1.1001918,275.8573171,275
124,1,54.703343,-3.2807922,366.0498916,375
124,2,57.237544,-2.7929751,614.1754011,625
124,3,53.524482,-1.5494823,196.8624536,200
124,4,51.355997,-2.4932074,154.8738852,150
124,5,52.495176,-1.8801345,119.8706767,125
124,6,52.578651,-1.1988298,92.84597678,100
124,7,53.699199,-2.4636348,243.4906993,250
124,8,53.824529,-3.0243034,277.1323447,275
124,9,53.584559,-2.4826348,233.9325579,225
124,10,50.74482,-1.8393092,161.031868,150
124,11,53.843678,-1.8506703,237.3793479,225
124,12,51.553367,-3.613314,223.2190115,225
124,13,52.188609,-0.45486269,33.13527222,25
124,14,51.45504,-0.76631993,53.86857691,50
124,15,51.445696,-1.2844366,77.23685046,75
124,16,55.526331,-2.7885726,433.3697838,425
124,17,50.846246,-0.1301968,118.0679687,125
124,18,51.781388,-0.80565504,28.75902754,25
124,19,53.720427,-1.9501065,227.8950713,225
124,20,51.503147,-3.205475,196.7622661,200
124,21,54.982614,-2.8325357,379.1768387,375
124,22,51.894893,-4.2139463,260.5356644,250
124,23,52.29802,-3.9499811,245.4888951,250
124,24,52.740006,-1.1403301,106.18185,100
124,25,51.470949,-2.6127479,158.1278403,150
124,26,53.165836,-2.300626,190.3760011,200
124,27,53.147443,-3.7466843,265.0063775,275
124,28,52.506911,-0.70211934,71.01203887,75
124,29,52.414136,-1.5225461,94.83553908,100
124,30,52.178947,0.094035346,48.02882003,50
124,31,52.336644,0.27635061,69.15178708,75
124,32,52.451229,-0.13158562,65.51370587,75
124,33,52.696283,-1.8204725,130.5418284,125
124,34,51.845278,-1.9706451,106.3543358,100
124,35,53.150161,-2.8667844,216.7774614,225
124,36,55.911349,-3.2645951,484.4868257,475
124,37,55.876281,-4.2316167,508.8816224,500
124,38,50.442645,-4.9585661,355.3558235,350
124,39,54.74102,-1.5428965,325.6402922,325
124,40,54.771699,-1.3564076,326.3860294,325
124,41,54.685281,-1.9785006,327.5745422,325
124,42,53.055608,-2.5346635,193.0102144,200
124,43,54.329751,-2.9711899,320.2442153,325
124,44,54.535381,-1.5590276,303.7148716,300
124,45,52.914724,-1.4700544,134.1305371,125
124,46,53.533907,-1.1045433,188.3790959,200
124,47,52.49227,-2.1017429,132.5267899,125
124,48,53.111185,-3.2607918,235.3508993,225
124,49,53.367532,-1.8491215,190.3264016,200
124,50,53.211538,-1.3840145,160.5506017,150
124,51,53.130015,-1.6120678,159.5301462,150
124,52,50.444931,-3.5863111,273.171543,275
124,53,50.820407,-3.4055404,239.0967507,250
124,54,50.94661,-4.0708534,274.2265686,275
124,55,50.538682,-3.8759111,283.9219836,275
124,56,50.79741,-2.3208769,179.3912187,175
124,57,55.057044,-4.026598,425.4709468,425
124,58,56.707601,-2.9123629,559.7009565,550
124,59,52.448001,-0.51028166,62.1959667,50
124,60,53.879279,-0.46810889,221.2047067,225
124,61,52.888161,-1.903162,149.5951135,150
124,62,50.926465,-1.3297789,124.2950163,125
124,63,54.604659,-2.6263854,335.6013917,325
124,64,52.938167,-1.3567595,132.4995279,125
124,65,55.454514,-4.2882494,471.2629601,475
124,66,55.962957,-4.2245237,516.9531821,525
124,67,55.941928,-2.7277556,475.2832385,475
124,68,55.745386,-4.3675535,501.0105294,500
124,69,50.937523,0.36725653,119.6387253,125
124,70,51.852716,0.83001784,86.73094485,75
124,71,51.652698,0.46820017,67.29385953,75
124,72,50.717005,-3.5110951,251.4796799,250
124,73,50.853811,-1.2099664,127.5826161,125
124,74,56.001593,-3.7721695,507.1631651,500
124,75,56.229659,-3.1655369,514.8208116,525
124,76,50.806452,-1.1629521,131.063554,125
124,77,52.89354,-4.1037228,273.8446487,275
124,78,51.126182,-0.19621539,86.60368497,75
124,79,51.806873,-2.3787485,134.7132637,125
124,80,53.333872,-2.6809325,221.4095008,225
124,81,52.538578,-1.0094038,82.24972958,75
124,82,54.674675,-1.2702481,314.7318729,325
124,83,50.872361,-0.99035923,119.8938136,125
